unidade,distrito,indicador,prioridade,acao,motivo
USF 078,Distrito Sanitário VII,Autoavaliação da equipe,baixa,Conduzir roda de conversa com a equipe sobre processos de trabalho antes do próximo ciclo de avaliação.,"Autoavaliação da equipe é a dimensão mais fraca desta unidade, mesmo com o índice geral em 56."
USF 080,Distrito Sanitário VII,Satisfação do usuário,baixa,"Revisar acolhimento e tempo de espera com a equipe, e ouvir os usuários sobre o que mais incomoda.","Satisfação do usuário é a dimensão mais fraca desta unidade, mesmo com o índice geral em 76."
USF 083,Distrito Sanitário V,Autoavaliação da equipe,baixa,Conduzir roda de conversa com a equipe sobre processos de trabalho antes do próximo ciclo de avaliação.,"Autoavaliação da equipe é a dimensão mais fraca desta unidade, mesmo com o índice geral em 59."
USF 084,Distrito Sanitário VI,Autoavaliação da equipe,baixa,Conduzir roda de conversa com a equipe sobre processos de trabalho antes do próximo ciclo de avaliação.,"Autoavaliação da equipe é a dimensão mais fraca desta unidade, mesmo com o índice geral em 55."
USF 085,Distrito Sanitário VII,Autoavaliação da equipe,baixa,Conduzir roda de conversa com a equipe sobre processos de trabalho antes do próximo ciclo de avaliação.,"Autoavaliação da equipe é a dimensão mais fraca desta unidade, mesmo com o índice geral em 75."
USF 086,Distrito Sanitário IV,Satisfação do usuário,baixa,"Revisar acolhimento e tempo de espera com a equipe, e ouvir os usuários sobre o que mais incomoda.","Satisfação do usuário é a dimensão mais fraca desta unidade, mesmo com o índice geral em 51."
USF 087,Distrito Sanitário VI,Satisfação do usuário,baixa,"Revisar acolhimento e tempo de espera com a equipe, e ouvir os usuários sobre o que mais incomoda.","Satisfação do usuário é a dimensão mais fraca desta unidade, mesmo com o índice geral em 54."
USF 089,Distrito Sanitário VIII,Autoavaliação da equipe,baixa,Conduzir roda de conversa com a equipe sobre processos de trabalho antes do próximo ciclo de avaliação.,"Autoavaliação da equipe é a dimensão mais fraca desta unidade, mesmo com o índice geral em 79."
USF 090,Distrito Sanitário VI,Satisfação do usuário,baixa,"Revisar acolhimento e tempo de espera com a equipe, e ouvir os usuários sobre o que mais incomoda.","Satisfação do usuário é a dimensão mais fraca desta unidade, mesmo com o índice geral em 85."
USF 095,Distrito Sanitário II,Autoavaliação da equipe,baixa,Conduzir roda de conversa com a equipe sobre processos de trabalho antes do próximo ciclo de avaliação.,"Autoavaliação da equipe é a dimensão mais fraca desta unidade, mesmo com o índice geral em 62."
USF 096,Distrito Sanitário III,Satisfação do usuário,baixa,"Revisar acolhimento e tempo de espera com a equipe, e ouvir os usuários sobre o que mais incomoda.","Satisfação do usuário é a dimensão mais fraca desta unidade, mesmo com o índice geral em 58."
USF 105,Distrito Sanitário III,Autoavaliação da equipe,baixa,Conduzir roda de conversa com a equipe sobre processos de trabalho antes do próximo ciclo de avaliação.,"Autoavaliação da equipe é a dimensão mais fraca desta unidade, mesmo com o índice geral em 61."
USF 110,Distrito Sanitário IV,Autoavaliação da equipe,baixa,Conduzir roda de conversa com a equipe sobre processos de trabalho antes do próximo ciclo de avaliação.,"Autoavaliação da equipe é a dimensão mais fraca desta unidade, mesmo com o índice geral em 53."
USF 112,Distrito Sanitário VIII,Autoavaliação da equipe,baixa,Conduzir roda de conversa com a equipe sobre processos de trabalho antes do próximo ciclo de avaliação.,"Autoavaliação da equipe é a dimensão mais fraca desta unidade, mesmo com o índice geral em 52."
USF 115,Distrito Sanitário III,Autoavaliação da equipe,baixa,Conduzir roda de conversa com a equipe sobre processos de trabalho antes do próximo ciclo de avaliação.,"Autoavaliação da equipe é a dimensão mais fraca desta unidade, mesmo com o índice geral em 48."
USF 116,Distrito Sanitário VIII,Satisfação do usuário,baixa,"Revisar acolhimento e tempo de espera com a equipe, e ouvir os usuários sobre o que mais incomoda.","Satisfação do usuário é a dimensão mais fraca desta unidade, mesmo com o índice geral em 92."
USF 121,Distrito Sanitário VI,Autoavaliação da equipe,baixa,Conduzir roda de conversa com a equipe sobre processos de trabalho antes do próximo ciclo de avaliação.,"Autoavaliação da equipe é a dimensão mais fraca desta unidade, mesmo com o índice geral em 56."
USF 122,Distrito Sanitário I,Autoavaliação da equipe,baixa,Conduzir roda de conversa com a equipe sobre processos de trabalho antes do próximo ciclo de avaliação.,"Autoavaliação da equipe é a dimensão mais fraca desta unidade, mesmo com o índice geral em 57."
USF 127,Distrito Sanitário III,Autoavaliação da equipe,baixa,Conduzir roda de conversa com a equipe sobre processos de trabalho antes do próximo ciclo de avaliação.,"Autoavaliação da equipe é a dimensão mais fraca desta unidade, mesmo com o índice geral em 74."
USF 130,Distrito Sanitário VII,Autoavaliação da equipe,baixa,Conduzir roda de conversa com a equipe sobre processos de trabalho antes do próximo ciclo de avaliação.,"Autoavaliação da equipe é a dimensão mais fraca desta unidade, mesmo com o índice geral em 55."
USF 131,Distrito Sanitário II,Autoavaliação da equipe,baixa,Conduzir roda de conversa com a equipe sobre processos de trabalho antes do próximo ciclo de avaliação.,"Autoavaliação da equipe é a dimensão mais fraca desta unidade, mesmo com o índice geral em 54."
USF 137,Distrito Sanitário III,Autoavaliação da equipe,baixa,Conduzir roda de conversa com a equipe sobre processos de trabalho antes do próximo ciclo de avaliação.,"Autoavaliação da equipe é a dimensão mais fraca desta unidade, mesmo com o índice geral em 76."
USF 138,Distrito Sanitário I,Autoavaliação da equipe,baixa,Conduzir roda de conversa com a equipe sobre processos de trabalho antes do próximo ciclo de avaliação.,"Autoavaliação da equipe é a dimensão mais fraca desta unidade, mesmo com o índice geral em 68."
USF 143,Distrito Sanitário VI,Satisfação do usuário,baixa,"Revisar acolhimento e tempo de espera com a equipe, e ouvir os usuários sobre o que mais incomoda.","Satisfação do usuário é a dimensão mais fraca desta unidade, mesmo com o índice geral em 88."
USF 152,Distrito Sanitário I,Satisfação do usuário,baixa,"Revisar acolhimento e tempo de espera com a equipe, e ouvir os usuários sobre o que mais incomoda.","Satisfação do usuário é a dimensão mais fraca desta unidade, mesmo com o índice geral em 66."
USF 153,Distrito Sanitário VIII,Satisfação do usuário,baixa,"Revisar acolhimento e tempo de espera com a equipe, e ouvir os usuários sobre o que mais incomoda.","Satisfação do usuário é a dimensão mais fraca desta unidade, mesmo com o índice geral em 65."
USF 155,Distrito Sanitário I,Autoavaliação da equipe,baixa,Conduzir roda de conversa com a equipe sobre processos de trabalho antes do próximo ciclo de avaliação.,"Autoavaliação da equipe é a dimensão mais fraca desta unidade, mesmo com o índice geral em 77."
USF 156,Distrito Sanitário V,Satisfação do usuário,baixa,"Revisar acolhimento e tempo de espera com a equipe, e ouvir os usuários sobre o que mais incomoda.","Satisfação do usuário é a dimensão mais fraca desta unidade, mesmo com o índice geral em 79."
USF 158,Distrito Sanitário VII,Autoavaliação da equipe,baixa,Conduzir roda de conversa com a equipe sobre processos de trabalho antes do próximo ciclo de avaliação.,"Autoavaliação da equipe é a dimensão mais fraca desta unidade, mesmo com o índice geral em 44."
USF 160,Distrito Sanitário I,Satisfação do usuário,baixa,"Revisar acolhimento e tempo de espera com a equipe, e ouvir os usuários sobre o que mais incomoda.","Satisfação do usuário é a dimensão mais fraca desta unidade, mesmo com o índice geral em 53."
USF 161,Distrito Sanitário VIII,Satisfação do usuário,baixa,"Revisar acolhimento e tempo de espera com a equipe, e ouvir os usuários sobre o que mais incomoda.","Satisfação do usuário é a dimensão mais fraca desta unidade, mesmo com o índice geral em 75."
USF 163,Distrito Sanitário III,Satisfação do usuário,baixa,"Revisar acolhimento e tempo de espera com a equipe, e ouvir os usuários sobre o que mais incomoda.","Satisfação do usuário é a dimensão mais fraca desta unidade, mesmo com o índice geral em 82."
USF 164,Distrito Sanitário VI,Autoavaliação da equipe,baixa,Conduzir roda de conversa com a equipe sobre processos de trabalho antes do próximo ciclo de avaliação.,"Autoavaliação da equipe é a dimensão mais fraca desta unidade, mesmo com o índice geral em 57."
USF 179,Distrito Sanitário VII,Autoavaliação da equipe,baixa,Conduzir roda de conversa com a equipe sobre processos de trabalho antes do próximo ciclo de avaliação.,"Autoavaliação da equipe é a dimensão mais fraca desta unidade, mesmo com o índice geral em 58."
